"fit_id","fit_config_id","seed_index","final_elbo","practical_converged","role_id","block","study","candidate_id","candidate_factor","factor_ppi","ppi_retained_0_5","expected_active_loading_count","loading_l2","zero_loading_direction","loading_rms","factor_process_rms","complete_contribution_rms","subject_weight","weighted_contribution_energy","rank_cap","effective_M_99pct","weighted_contribution_share"
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"A","shared",0,"A_2",2,2.50832932202627e-08,FALSE,2.50832937800951e-08,0,TRUE,0,0,0,1,0,2,2,0
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"A","shared",0,"A_3",3,2.50832932202627e-08,FALSE,2.50832937800788e-08,0,TRUE,0,0,0,1,0,2,2,0
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"B1","specific",1,"B1_1",1,1,TRUE,49.028013921913,7.82940826711364,FALSE,0.350141782177298,0.992919699235228,0.34766267304917,0.5,0.060434667115847,2,2,0.162293016829211
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"B1","specific",1,"B1_2",2,3.61825308603514e-08,FALSE,3.61825298500761e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"B1","specific",1,"B1_3",3,3.61825308603514e-08,FALSE,3.61825298500753e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"B2","specific",2,"B2_1",1,1,TRUE,48.9133255230466,7.28276493201438,FALSE,0.325695149042716,1.0738401601386,0.349744531004396,0.5,0.0611606184837424,2,2,0.16424250779507
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"B2","specific",2,"B2_2",2,1,TRUE,48.8364434530819,2.69396948412888,FALSE,0.120477977916444,0.99265406647748,0.119592954699742,0.5,0.00715123740690732,2,2,0.0192041414012284
"g12s6a_01__factor_L3_M2__02","factor_L3_M2",2,-122536.676834129,FALSE,"B2","specific",2,"B2_3",3,3.52359320610063e-08,FALSE,3.52359327794228e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"A","shared",0,"A_1",1,1,TRUE,49.9736355113351,10.2793659991697,FALSE,0.459707222794871,1.117655862718,0.513794472690495,1,0.263984760167304,2,2,0.674133804256845
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"A","shared",0,"A_2",2,2.50818785740847e-08,FALSE,2.50818794472273e-08,0,TRUE,0,0,0,1,0,2,2,0
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"A","shared",0,"A_3",3,2.50818790181739e-08,FALSE,2.5081879648062e-08,0,TRUE,0,0,0,1,0,2,2,0
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.3193608984356,7.79335724061938,FALSE,0.348529531259302,0.992977939538717,0.346082135818257,0.5,0.0598864223662633,2,2,0.152931031728935
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"B1","specific",1,"B1_2",2,3.61817255045693e-08,FALSE,3.61817260225263e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"B1","specific",1,"B1_3",3,3.61817255045693e-08,FALSE,3.61817260225117e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,48.9965494283471,7.25581648827925,FALSE,0.324489978001124,1.07311570207395,0.348215290558638,0.5,0.0606269442894182,2,2,0.154822091125226
"g12s6a_01__factor_L3_M2__03","factor_L3_M2",3,-122580.800309195,TRUE,"B2","specific",2,"B2_2",2,1,TRUE,49.3262125816459,2.68969102931463,FALSE,0.120286639600378,0.990170647778795,0.119104299852241,0.5,0.00709291712164624,2,2,0.0181130728889937
