"fit_id","data_id","scenario_id","seed_index","endpoint_role","structure_exact","structure_class","block_role","ppi_at_20","ppi_at_200","ppi_at_400","first_checkpoint_ppi_below_0_5","first_checkpoint_ppi_below_0_1","first_checkpoint_ppi_below_0_01","loading_norm_ratio_at_0","loading_norm_ratio_at_200","loading_norm_ratio_at_400","max_loading_norm_ratio","first_checkpoint_loading_ratio_above_2","first_checkpoint_loading_ratio_above_5","same_role_loading_abs_cosine_at_400","factor_process_grid_rms_at_400","complete_contribution_grid_rms_proxy_at_400"
"g12ss4c_sparse_02__G12__01","g12ss4c_sparse_02","sparse_observation",1,"not_selected",FALSE,"underselected_or_missing","B2",6.23152467404964e-08,6.07398229490741e-08,6.03724797931804e-08,20,20,20,1.62206196985398,0,0,1.62206196985398,,,0,0,0
"g12ss4c_sparse_02__G12__02","g12ss4c_sparse_02","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.66545934883219,1.58274453013308,1.33178538954148,2.16865590168944,20,,0.999524661774348,6.786843264731,2.71158561032303
"g12ss4c_sparse_02__G12__02","g12ss4c_sparse_02","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing","B1",5.90328842475785e-08,5.83942535437032e-08,5.83927107777882e-08,20,20,20,1.6524613903165,0,0,1.6524613903165,,,0,0,0
"g12ss4c_sparse_02__G12__02","g12ss4c_sparse_02","sparse_observation",2,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.61965137882618,1.41577168735823,1.21215526503237,1.97987473408197,,,0.999210739844109,1.27252733186874,0.462750211566686
"g12ss4c_sparse_02__G12__03","g12ss4c_sparse_02","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.5944717786939,1.4978800403881,1.29703710590266,2.18966831857375,20,,0.999524284389935,6.38988547801684,2.48637557023691
"g12ss4c_sparse_02__G12__03","g12ss4c_sparse_02","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing","B1",5.88623148001233e-08,5.8581455131268e-08,5.83611735605061e-08,20,20,20,1.64727391585801,0,0,1.64727391585801,,,0,0,0
"g12ss4c_sparse_02__G12__03","g12ss4c_sparse_02","sparse_observation",3,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.68020925438988,1.4354728274318,1.1791684699972,2.13623276315916,20,,0.999168251255164,0.797222549470958,0.28201790817208
"g12ss4c_sparse_02__G12__04","g12ss4c_sparse_02","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.6464453643817,1.29045785762051,1.06930327164988,1.98674170325179,,,0.000677887480158878,0.617619883620135,0.198126888657309
"g12ss4c_sparse_02__G12__04","g12ss4c_sparse_02","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing","B1",6.4510357611347e-08,6.44463088450564e-08,6.44458233445278e-08,20,20,20,1.66688925923887,0,0,1.66688925923887,,,0,0,0
"g12ss4c_sparse_02__G12__04","g12ss4c_sparse_02","sparse_observation",4,"not_selected",FALSE,"underselected_or_missing","B2",1,1,1,,,,1.70322755457259,1.32503918881446,1.11601288981421,2.15395720515046,20,,1.28306558146402e-06,3.08056382692161,1.03138468162197
"g12ss4c_sparse_02__G12__05","g12ss4c_sparse_02","sparse_observation",5,"not_selected",FALSE,"underselected_or_missing","A",1,1,1,,,,1.56031611995005,1.20450019113995,0.971319322045745,1.66714595554367,,,0.049385526853339,1.13951700367469,0.332050465040671
"g12ss4c_sparse_02__G12__05","g12ss4c_sparse_02","sparse_observation",5,"not_selected",FALSE,"underselected_or_missing","B1",1,1,1,,,,1.67708669073063,1.63256424731698,1.35891172255841,2.34179719940244,20,,0.999500709386624,2.13753707885666,0.87141725815847
"g12ss4c_sparse_02__G12__05","g12ss4c_sparse_02","sparse_observation",5,"not_selected",FALSE,"underselected_or_missing","B2",6.14645592200702e-08,6.09163901543752e-08,6.09200497825313e-08,20,20,20,1.72825274539866,0,0,1.72825274539866,,,0,0,0
"g12ss4c_sparse_02__G12__06","g12ss4c_sparse_02","sparse_observation",6,"not_selected",FALSE,"correct_counts_wrong_identity","A",1,1,1,,,,1.66454215715666,1.77275263588139,1.43686932237033,2.41399726254901,20,,0.999500027298327,1.79888071130466,0.775426952603216
"g12ss4c_sparse_02__G12__06","g12ss4c_sparse_02","sparse_observation",6,"not_selected",FALSE,"correct_counts_wrong_identity","B1",1,1,1,,,,1.67696969276944,0.817256309513272,0.838036416560058,1.67696969276944,,,0.000905253189714374,1.79344461111981,0.450891568560537
"g12ss4c_sparse_02__G12__06","g12ss4c_sparse_02","sparse_observation",6,"not_selected",FALSE,"correct_counts_wrong_identity","B2",1,1,1,,,,1.63429432034005,1.43751717332396,1.17509028142101,2.22622374753076,20,,0.99916788217456,0.800990218300755,0.282370746311554
"g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation",7,"winner",TRUE,"exact_1_1_1_identity","A",1,1,1,,,,1.65597568029978,1.60617698127382,1.45697251767616,2.46959353286582,20,,0.999537806539628,5.46465917846831,2.38855747244854
"g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation",7,"winner",TRUE,"exact_1_1_1_identity","B1",1,1,1,,,,1.72277112770572,1.60640620781802,1.10018106049645,2.67150306380242,20,,0.999263114790506,3.64353934279758,1.20256589343588
"g12ss4c_sparse_02__G12__07","g12ss4c_sparse_02","sparse_observation",7,"winner",TRUE,"exact_1_1_1_identity","B2",1,1,1,,,,1.73914955573952,1.49725554954812,1.21682261459194,2.17746108484359,20,,0.999161835616448,0.780200521125308,0.284809691406507
"g12ss4c_sparse_02__G12__08","g12ss4c_sparse_02","sparse_observation",8,"not_selected",FALSE,"correct_counts_wrong_identity","A",1,1,1,,,,1.63667499917838,1.08020529428896,0.912518601342485,1.6786879376507,,,1.17187379662124e-05,0.882404335641963,0.241563111053565
"g12ss4c_sparse_02__G12__08","g12ss4c_sparse_02","sparse_observation",8,"not_selected",FALSE,"correct_counts_wrong_identity","B1",1,1,1,,,,1.57481820853313,1.25576836861195,1.18902778439387,1.57481820853313,,,0.000255201171043572,2.89207277460086,1.03162646504684
"g12ss4c_sparse_02__G12__08","g12ss4c_sparse_02","sparse_observation",8,"not_selected",FALSE,"correct_counts_wrong_identity","B2",1,1,1,,,,1.68108193745884,1.32780674756884,1.11351500570613,1.81008924851948,,,0.998355055242298,1.06199972161223,0.354765787821285
